Channel,Title,URL,Duration
Mangdungi Kids,Three Bears | Kids Song | Traditional Family Song | Mangdungi Kids,https://www.youtube.com/watch?v=NDRZXR0v3aQ&list=UU1EJLlO7yxG2l_9LTs8WsXg,00:02:55
Mangdungi Kids,"Twinkle, Baby Tangerine | Kids Song | Fruit Song | Mangdungi Kids",https://www.youtube.com/watch?v=9z4wSni-XqE&list=UU1EJLlO7yxG2l_9LTs8WsXg,00:04:29
Mangdungi Kids,"If You Throw a Tantrum, Mr. Black Bear Comes | Educational Kids Song | Manners Song | Mangdungi Kids",https://www.youtube.com/watch?v=emC2XwHPKJ4&list=UU1EJLlO7yxG2l_9LTs8WsXg,00:03:13
Mangdungi Kids,"Up, Up, Banana! | Kids Song | Funny Banana Song | Mangdungi Kids",https://www.youtube.com/watch?v=oZJqOGKfktY&list=UU1EJLlO7yxG2l_9LTs8WsXg,00:01:04
Mangdungi Kids,"Up, Up, Airplane! | Kids Song | Transportation Song | Mangdungi Kids",https://www.youtube.com/watch?v=4le6mBjj6js&list=UU1EJLlO7yxG2l_9LTs8WsXg,00:01:04
Mangdungi Kids,Moonlight Family Night | Kids Song | Chuseok Song | Mangdungi Kids,https://www.youtube.com/watch?v=hiu30fba3IQ&list=UU1EJLlO7yxG2l_9LTs8WsXg,00:01:37
Mangdungi Kids,Tyranno Takes Off! | Kids Song | Dino Song | Mangdungi Kids,https://www.youtube.com/watch?v=9hSE0t359eY&list=UU1EJLlO7yxG2l_9LTs8WsXg,00:01:05
Mangdungi Kids,ITSY BITSY SPIDER | Kids Song | Nursery Rhyme | Mangdungi Kids,https://www.youtube.com/watch?v=MMakC_mE9QQ&list=UU1EJLlO7yxG2l_9LTs8WsXg,00:01:28
Mangdungi Kids,"Foxy, Foxy, What Are You Doing? | Kids Song | Traditional Song Reimagined | Mangdungi Kids",https://www.youtube.com/watch?v=X61ihCTmXPQ&list=UU1EJLlO7yxG2l_9LTs8WsXg,00:01:33
Mangdungi Kids,"Little Frog, Little Frog | Kids Song | Folk Song Reimagined | Mangdungi Kids",https://www.youtube.com/watch?v=6MQKTNgqkCI&list=UU1EJLlO7yxG2l_9LTs8WsXg,00:00:48
Mangdungi Kids,Meet the Dinosaurs! 2 | Kids Song | Dino Song | Mangdungi Kids,https://www.youtube.com/watch?v=V4dc70zPFB0&list=UU1EJLlO7yxG2l_9LTs8WsXg,00:02:21
Mangdungi Kids,Black Caiman | Kids Song | Scary Song | Mangdungi Kids,https://www.youtube.com/watch?v=XxRPiBEO1qc&list=UU1EJLlO7yxG2l_9LTs8WsXg,00:03:11
Mangdungi Kids,Heavy Machinery Heroes | Educational Song | Hero Song | Mangdungi Kids,https://www.youtube.com/watch?v=QUhtFcjcnHg&list=UU1EJLlO7yxG2l_9LTs8WsXg,00:02:48
Mangdungi Kids,Meet the Dinosaurs! | Dino Song | Kids Song | Mangdungi Kids,https://www.youtube.com/watch?v=5PtTFIAkgs4&list=UU1EJLlO7yxG2l_9LTs8WsXg,00:02:21
Mangdungi Kids,Creatures of the Amazon River | Nature Discovery Song | Kids Song | Mangdungi Kids,https://www.youtube.com/watch?v=X4gEkB8VN8g&list=UU1EJLlO7yxG2l_9LTs8WsXg,00:03:13
Mangdungi Kids,Zzzap! Electric Eel | River Friends Song | Kids Song | Mangdungi Kids,https://www.youtube.com/watch?v=nPVUzs7pGFo&list=UU1EJLlO7yxG2l_9LTs8WsXg,00:02:39
Mangdungi Kids,Pirarucu | River Friends Song | Kids Song | Mangdungi Kids,https://www.youtube.com/watch?v=memT0olq6d4&list=UU1EJLlO7yxG2l_9LTs8WsXg,00:02:43
Mangdungi Kids,Hippo Song | Animal Song | Kids Song | Mangdungi Kids,https://www.youtube.com/watch?v=bycAZjXldz4&list=UU1EJLlO7yxG2l_9LTs8WsXg,00:02:07
Mangdungi Kids,Anaconda | Kids Song | Scary Song | Horror Song | Mangdungi Kids,https://www.youtube.com/watch?v=gPpIo4Ez3VE&list=UU1EJLlO7yxG2l_9LTs8WsXg,00:02:57
Mangdungi Kids,"Orca, King of the Sea | Kids Song | Ocean Song | Mangdungi Kids",https://www.youtube.com/watch?v=3i1ma2rZ138&list=UU1EJLlO7yxG2l_9LTs8WsXg,00:03:03
Mangdungi Kids,"Sleep, or the Bear Will Come! | Kids Song | Bedtime Song | Mangdungi Kids",https://www.youtube.com/watch?v=LQ2A0HFCnEw&list=UU1EJLlO7yxG2l_9LTs8WsXg,00:03:49
Mangdungi Kids,"Little Warrior, Piranha | Kids Song | Animal Song | Mangdungi Kids",https://www.youtube.com/watch?v=rA1ztv3372A&list=UU1EJLlO7yxG2l_9LTs8WsXg,00:02:44
Mangdungi Kids,Flying Subway | Kids Song | Transportation Song | Mangdungi Kids,https://www.youtube.com/watch?v=fLTknrswlhc&list=UU1EJLlO7yxG2l_9LTs8WsXg,00:02:03
Mangdungi Kids,Space Train: Journey Through the Solar System | Kids Song | Mangdungi Kids,https://www.youtube.com/watch?v=oMChrN7iBuI&list=UU1EJLlO7yxG2l_9LTs8WsXg,00:01:59
Mangdungi Kids,Hide! The Shark Is Here | Kids Song | Ocean Song for Kids | Mangdungi Kids,https://www.youtube.com/watch?v=lJLVWjIURvM&list=UU1EJLlO7yxG2l_9LTs8WsXg,00:02:45
Mangdungi Kids,Sea Friends | Kids Song Compilation | Ocean & River Animal Songs | Mangdungi Kids,https://www.youtube.com/watch?v=w79rM6N3Gtc&list=UU1EJLlO7yxG2l_9LTs8WsXg,00:13:11
Mangdungi Kids,Starfish | Kids Song | Ocean Animals Song | Mangdungi Kids,https://www.youtube.com/watch?v=lRb_1AVkfv8&list=UU1EJLlO7yxG2l_9LTs8WsXg,00:02:05
Mangdungi Kids,Hunter Crocodile | Kids Song | River Animal Song | Mangdungi Kids,https://www.youtube.com/watch?v=C6PJnGGC8Gk&list=UU1EJLlO7yxG2l_9LTs8WsXg,00:01:17
Mangdungi Kids,"Halloween Kids Songs 🎃👻 | Scary Bear, Scary Shark, Machine Villains, Halloween! | Mangdungi Kids",https://www.youtube.com/watch?v=0Q-ZpjnVxrs&list=UU1EJLlO7yxG2l_9LTs8WsXg,00:11:26
Mangdungi Kids,"Run Away, Halloween! | Kids Song | Trick or Treat Song | Mangdungi Kids",https://www.youtube.com/watch?v=BB5dD706-AA&list=UU1EJLlO7yxG2l_9LTs8WsXg,00:01:59
